fold,test_bearing_id,feature_policy,model_family,auroc,average_precision,balanced_accuracy,healthy_false_positive_rate,developing_recall,faulty_recall
bearing-01,1,vibration,healthy_reference,1.0,1.0,0.8552631578947368,0.0,1.0,0.42105263157894735
bearing-02,2,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-03,3,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-04,4,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-05,5,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-06,6,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-07,7,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-08,8,vibration,healthy_reference,1.0,1.0,0.6973684210526316,0.0,0.0,0.7894736842105263
bearing-09,9,vibration,healthy_reference,1.0,1.0,0.5,1.0,1.0,1.0
bearing-10,10,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-16,16,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-17,17,vibration,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-18,18,vibration,healthy_reference,1.0,1.0,0.763157894736842,0.0,0.05263157894736842,1.0
bearing-19,19,vibration,healthy_reference,1.0,1.0,0.5,0.0,0.0,0.0
bearing-20,20,vibration,healthy_reference,1.0,1.0,0.75,0.0,0.0,1.0
bearing-01,1,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-02,2,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-03,3,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-04,4,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-05,5,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-06,6,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-07,7,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-08,8,vibration,isolation_forest,1.0,1.0,0.9605263157894737,0.0,0.8421052631578947,1.0
bearing-09,9,vibration,isolation_forest,1.0,1.0,0.5,1.0,1.0,1.0
bearing-10,10,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-16,16,vibration,isolation_forest,1.0,1.0,0.5526315789473684,0.8947368421052632,1.0,1.0
bearing-17,17,vibration,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
